Logit_class_0,Logit_class_1
-3.9550781,3.9863281
-4.6210938,4.75
-4.9921875,5.0234375
-1.9941406,1.9404297
-5.2617188,5.3828125
-2.8554688,2.9277344
-3.0410156,2.9921875
-3.2011719,3.3847656
-4.6015625,4.6757812
-4.5742188,4.6210938
-5.390625,5.4726562
-3.4277344,3.4726562
-5.1328125,5.2070312
-4.9296875,4.9179688
-5.6289062,5.7421875
-3.765625,3.84375
-5.0820312,5.1484375
-5.0859375,5.1679688
-3.7011719,3.7207031
-5.6210938,5.7265625
-5.0664062,5.1171875
-4.09375,4.15625
-4.65625,4.6875
-5.421875,5.5
-4.71875,4.8359375
-4.4414062,4.4882812
-4.4765625,4.5703125
-2.0996094,2.1816406
-4.0351562,4.1210938
-3.2226562,3.2675781
-4.0078125,4.1523438
-4.6367188,4.7421875
-3.2519531,3.3320312
-4.3515625,4.3984375
-4.7382812,4.8007812
-5.2890625,5.2773438
-5.0703125,5.0820312
-4.8828125,4.9609375
-4.7773438,4.8945312
-4.609375,4.65625
-4.8476562,4.890625
-4.8242188,4.9179688
-4.9179688,4.9648438
-4.1914062,4.2734375
-4.671875,4.7539062
-4.3984375,4.5429688
-5.0585938,5.1328125
-4.1835938,4.21875
-5.0273438,5.2226562
-5.2617188,5.3515625
-4.96875,5.0742188
-5.0351562,5.0742188
-5.328125,5.40625
-4.828125,4.9375
-4.65625,4.6992188
-3.2988281,3.4277344
-4.53125,4.5703125
-3.7109375,3.7304688
-4.6992188,4.7617188
-4.7070312,4.8125
-4.1835938,4.2382812
-4.8984375,4.8671875
-4.7148438,4.765625
-4.3046875,4.3671875
-4.9140625,5.0585938
-5.15625,5.2773438
-4.625,4.6953125
-4.6953125,4.7617188
-4.0898438,4.1328125
-4.796875,4.828125
-4.9414062,4.9921875
-4.2460938,4.3085938
-5.046875,5.140625
-5.1367188,5.2460938
-5.0039062,5.109375
-5.5898438,5.6875
-4.6914062,4.7695312
-4.6679688,4.7226562
-3.7539062,3.71875
-4.421875,4.4179688
-5.1171875,5.1757812
-3.359375,3.4238281
-4.7109375,4.7617188
-5.2265625,5.2304688
-4.3359375,4.453125
-5.3046875,5.3632812
-3.9042969,3.9296875
-4.34375,4.4414062
-4.6757812,4.8164062
-4.7265625,4.8164062
-4.828125,4.890625
-4.5273438,4.5976562
-5.1640625,5.1835938
-4.2617188,4.3164062
-5.5664062,5.65625
-4.1367188,4.2382812
-4.65625,4.7265625
-4.875,5.0078125
-4.40625,4.5703125
-5.015625,5.1875
-5.25,5.3398438
-3.0371094,3.109375
-5.3164062,5.4140625
-4.9101562,4.984375
-4.4765625,4.4882812
-5.2851562,5.4375
-3.5136719,3.6035156
-4.2773438,4.3671875
-4.8671875,4.9765625
-3.7539062,3.7851562
-5.3398438,5.3476562
-4.4609375,4.5546875
-5.1523438,5.2265625
-4.6875,4.7460938
-4.1015625,4.1601562
-4.875,4.9765625
-4.6328125,4.7070312
-4.484375,4.5546875
-4.3046875,4.390625
-3.8476562,3.9121094
-4.8476562,4.9375
-2.6210938,2.6757812
-4.765625,4.8632812
-5.1835938,5.2773438
-4.5507812,4.703125
-2.0351562,2.0527344
-5.3710938,5.4101562
-3.8496094,3.9433594
-5.1054688,5.1914062
-4.625,4.71875
-4.8359375,4.9179688
-4.7265625,4.796875
-5.2148438,5.2734375
-4.7578125,4.8515625
-4.34375,4.4335938
-4.1054688,4.1875
-3.9921875,4.0664062
-5.9492188,6.0507812
-4.0429688,4.1523438
-4.5,4.6015625
-4.9882812,5.0820312
-4.8515625,4.9609375
-5.140625,5.296875
-4.3867188,4.484375
-5.2382812,5.2382812
-5.2421875,5.2929688
-4.5664062,4.6445312
-4.2539062,4.3203125
-2.1621094,2.1621094
-5.2851562,5.3789062
-4.0429688,4.1796875
-5.0820312,5.1796875
-4.7148438,4.7460938
-4.8007812,4.8789062
-5.15625,5.2265625
-4.6328125,4.7148438
-4.0039062,4.0273438
-4.703125,4.7695312
-3.828125,3.90625
-4.7382812,4.8203125
-3.7695312,3.8769531
-5.625,5.6757812
-4.0703125,4.0273438
-4.4375,4.6015625
-4.6601562,4.7070312
-4.4609375,4.5234375
-3.9980469,4.1328125
-4.234375,4.2929688
-4.0898438,4.2070312
-5.4804688,5.59375
-4.3320312,4.4414062
-4.7734375,4.8476562
-5.375,5.4257812
-4.2929688,4.3945312
-5.0507812,5.125
-5.2148438,5.2929688
-5.234375,5.3203125
-4.7226562,4.6914062
-5.4882812,5.5117188
-4.7851562,4.9023438
-4.703125,4.84375
-4.984375,5.0703125
-4.3125,4.4609375
-5.4726562,5.5742188
-5.6054688,5.6484375
-4.4960938,4.5429688
-4.9414062,5.015625
-4.4179688,4.46875
-5.203125,5.2578125
-4.9453125,5.03125
-4.1015625,4.1640625
-5.0117188,5.078125
-5.765625,5.8554688
-4.3164062,4.34375
-4.8710938,4.9453125
-4.5195312,4.6054688
-5.1132812,5.1445312
-5.3085938,5.4335938
-4.9726562,5.015625
-3.4414062,3.5253906
-4.90625,4.9453125
-3.4824219,3.578125
-4.4375,4.4804688
-3.9453125,3.953125
-4.7539062,4.8046875
-4.7304688,4.8320312
-4.9335938,5.0195312
-4.703125,4.8398438
-4.0273438,4.109375
-5.0859375,5.125
-4.5898438,4.703125
-5.0859375,5.1289062
-3.3496094,3.4238281
-3.125,3.1542969
-5.3320312,5.3945312
-4.5078125,4.5546875
-3.859375,3.9257812
-5.4335938,5.4882812
-5.1875,5.2265625
-5.4023438,5.484375
-3.6230469,3.6796875
-2.1582031,2.2382812
-4.6210938,4.671875
-4.9335938,5.0234375
-5.078125,5.2109375
-5.2734375,5.34375
-4.8710938,5.0
-5.3515625,5.3984375
-5.0351562,5.0507812
-4.9570312,5.046875
-4.734375,4.8007812
-2.8574219,2.9121094
-5.1210938,5.2109375
-5.125,5.1875
-5.109375,5.1914062
-3.2363281,3.3398438
-3.703125,3.8046875
-4.8359375,4.8359375
-1.9326172,1.9453125
-3.4511719,3.5742188
-4.4648438,4.5585938
-5.09375,5.1601562
-4.0273438,4.0703125
-3.8105469,3.8066406
-3.6445312,3.6738281
-4.1328125,4.1835938
-4.1757812,4.2382812
-5.078125,5.1914062
-4.8789062,5.0039062
-5.0546875,5.1601562
-4.8125,4.84375
-4.0195312,4.046875
-4.2304688,4.3476562
-4.515625,4.5859375
-4.2617188,4.4023438
-4.9179688,5.015625
-4.7890625,4.8320312
-4.6992188,4.7539062
-3.9921875,4.0664062
-3.7617188,3.8984375
-5.265625,5.375
-3.9257812,3.9707031
-2.0820312,2.15625
-3.6367188,3.7460938
-4.5664062,4.6640625
-4.90625,5.0039062
-3.375,3.3925781
-4.5390625,4.6523438
-4.7578125,4.8085938
-5.7539062,5.8007812
-4.53125,4.6484375
-5.3125,5.375
-5.0390625,5.1328125
-4.6679688,4.78125
-4.5546875,4.6601562
-2.4257812,2.4472656
-4.4960938,4.640625
-4.5898438,4.6796875
-4.4335938,4.453125
-5.0664062,5.2226562
-5.7890625,5.8164062
-3.6367188,3.703125
-3.8359375,3.7929688
-4.5,4.5351562
-4.6132812,4.7265625
-4.5429688,4.6171875
-4.359375,4.4101562
-0.44995117,0.38891602
-4.5390625,4.6601562
-5.0234375,5.1914062
-4.1757812,4.203125
-4.0703125,4.078125
-3.2851562,3.3613281
-5.46875,5.6015625
-4.9335938,4.984375
-5.390625,5.5429688
-4.734375,4.859375
-4.1914062,4.3164062
-4.4648438,4.5234375
-5.2929688,5.3476562
-3.6738281,3.7109375
-4.5546875,4.6210938
-4.7578125,4.8320312
-4.5390625,4.6757812
-4.2109375,4.2304688
-5.2460938,5.3398438
-5.5078125,5.6328125
-3.984375,4.0234375
-5.109375,5.1796875
-4.375,4.4414062
-4.0195312,4.1015625
-5.5078125,5.5664062
-2.8867188,2.828125
-4.6210938,4.6992188
-4.6875,4.8320312
-4.8398438,4.9101562
-4.5429688,4.6289062
-4.9648438,5.0078125
-3.8378906,3.8710938
-4.765625,4.78125
-4.9570312,4.9726562
-5.3085938,5.3671875
-1.5751953,1.6201172
-3.2988281,3.3554688
-4.5390625,4.578125
-5.265625,5.3789062
-2.5839844,2.6621094
-4.2851562,4.40625
-4.7226562,4.8164062
-4.7773438,4.8359375
-5.171875,5.2226562
-3.4707031,3.5683594
-2.3984375,2.4140625
-3.9101562,3.9902344
-4.140625,4.2578125
-3.78125,3.9726562
-5.296875,5.3554688
-3.3867188,3.5410156
-4.609375,4.703125
-5.1601562,5.3007812
-4.6953125,4.7421875
-5.15625,5.2460938
-4.4882812,4.546875
-3.9375,3.9589844
-4.9726562,5.0664062
-4.4570312,4.5507812
-4.3945312,4.5117188
-5.140625,5.2148438
-4.5703125,4.6210938
-4.3164062,4.3789062
-3.2539062,3.2714844
-3.6894531,3.8242188
-4.0429688,4.15625
-3.609375,3.6425781
-4.828125,4.9453125
-4.9726562,5.0976562
-4.515625,4.6679688
-5.1171875,5.1289062
-5.203125,5.3359375
-5.078125,5.1796875
-5.0859375,5.1171875
-4.7617188,4.8046875
-5.0507812,5.1757812
-4.296875,4.359375
-5.3984375,5.4726562
-4.3242188,4.4140625
-3.6074219,3.6992188
-5.234375,5.2851562
-4.8984375,4.8554688
