Seq. ID.	Class	AMP Probability
LENGTH_5_SEQ_1	NAMP	0.28
LENGTH_5_SEQ_2	NAMP	0.39
LENGTH_5_SEQ_3	AMP	0.63
LENGTH_5_SEQ_4	NAMP	0.41
LENGTH_5_SEQ_5	AMP	0.86
LENGTH_5_SEQ_6	NAMP	0.48
LENGTH_5_SEQ_7	NAMP	0.11
LENGTH_5_SEQ_8	NAMP	0.25
LENGTH_5_SEQ_9	NAMP	0.35
LENGTH_5_SEQ_10	NAMP	0.35
LENGTH_5_SEQ_11	AMP	0.94
LENGTH_5_SEQ_12	AMP	0.65
LENGTH_5_SEQ_13	AMP	0.62
LENGTH_5_SEQ_14	NAMP	0.29
LENGTH_5_SEQ_15	NAMP	0.41
LENGTH_5_SEQ_16	AMP	0.78
LENGTH_5_SEQ_17	AMP	0.56
LENGTH_5_SEQ_18	AMP	0.76
LENGTH_5_SEQ_19	AMP	0.75
LENGTH_5_SEQ_20	AMP	0.64
LENGTH_5_SEQ_21	NAMP	0.46
LENGTH_5_SEQ_22	AMP	0.61
LENGTH_5_SEQ_23	AMP	0.64
LENGTH_5_SEQ_24	NAMP	0.24
LENGTH_5_SEQ_25	NAMP	0.20
LENGTH_5_SEQ_26	NAMP	0.36
LENGTH_5_SEQ_27	AMP	0.86
LENGTH_5_SEQ_28	NAMP	0.34
LENGTH_5_SEQ_29	NAMP	0.42
LENGTH_5_SEQ_30	NAMP	0.33
LENGTH_5_SEQ_31	NAMP	0.19
LENGTH_5_SEQ_32	AMP	0.80
LENGTH_5_SEQ_33	AMP	0.66
LENGTH_5_SEQ_34	AMP	0.68
LENGTH_5_SEQ_35	AMP	0.71
LENGTH_5_SEQ_36	NAMP	0.36
LENGTH_5_SEQ_37	NAMP	0.24
LENGTH_5_SEQ_38	NAMP	0.42
LENGTH_5_SEQ_39	NAMP	0.34
LENGTH_5_SEQ_40	NAMP	0.34
LENGTH_5_SEQ_41	AMP	0.51
LENGTH_5_SEQ_42	AMP	0.51
LENGTH_5_SEQ_43	AMP	0.68
LENGTH_5_SEQ_44	NAMP	0.24
LENGTH_5_SEQ_45	AMP	0.86
LENGTH_5_SEQ_46	NAMP	0.09
LENGTH_5_SEQ_47	NAMP	0.17
LENGTH_5_SEQ_48	NAMP	0.15
LENGTH_5_SEQ_49	AMP	0.86
LENGTH_5_SEQ_50	AMP	0.83
LENGTH_5_SEQ_51	AMP	0.96
LENGTH_5_SEQ_52	NAMP	0.47
LENGTH_5_SEQ_53	AMP	0.96
LENGTH_5_SEQ_54	AMP	0.69
LENGTH_5_SEQ_55	NAMP	0.18
LENGTH_5_SEQ_56	AMP	0.61
LENGTH_5_SEQ_57	AMP	0.64
LENGTH_5_SEQ_58	AMP	0.53
LENGTH_5_SEQ_59	NAMP	0.36
LENGTH_5_SEQ_60	AMP	0.50
LENGTH_5_SEQ_61	NAMP	0.29
LENGTH_5_SEQ_62	NAMP	0.37
LENGTH_5_SEQ_63	AMP	0.82
LENGTH_5_SEQ_64	NAMP	0.25
LENGTH_5_SEQ_65	NAMP	0.11
LENGTH_5_SEQ_66	NAMP	0.16
LENGTH_5_SEQ_67	AMP	0.54
LENGTH_5_SEQ_68	NAMP	0.17
LENGTH_5_SEQ_69	NAMP	0.16
LENGTH_5_SEQ_70	AMP	0.73
LENGTH_5_SEQ_71	AMP	0.72
LENGTH_5_SEQ_72	NAMP	0.28
LENGTH_5_SEQ_73	AMP	0.50
LENGTH_5_SEQ_74	AMP	0.84
LENGTH_5_SEQ_75	AMP	0.91
LENGTH_5_SEQ_76	NAMP	0.22
LENGTH_5_SEQ_77	AMP	0.89
LENGTH_5_SEQ_78	AMP	0.81
